Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2M CALL,145.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,LPD 01,433.075000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,LPD 02,433.100000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,LPD 03,433.125000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,LPD 04,433.150000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,LPD 05,433.175000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,LPD 06,433.200000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
7,LPD 07,433.225000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
8,LPD 08,433.250000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
9,LPD 09,433.275000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
10,LPD 10,433.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
11,LPD 11,433.325000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
12,LPD 12,433.350000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
13,LPD 13,433.375000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
14,LPD 14,433.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
15,LPD 15,433.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
16,LPD 16,433.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
17,LPD 17,433.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
18,LPD 18,433.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
19,LPD 19,433.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
20,LPD 20,433.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
21,LPD 21,433.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
22,LPD 22,433.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
23,LPD 23,433.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
24,LPD 24,433.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
25,LPD 25,433.675000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
26,LPD 26,433.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
27,LPD 27,433.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
28,LPD 28,433.750000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
29,LPD 29,433.775000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
30,LPD 30,433.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
31,LPD 31,433.825000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
32,LPD 32,433.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
33,LPD 33,433.875000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
34,LPD 34,433.900000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
35,LPD 35,433.925000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
36,LPD 36,433.950000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
37,LPD 37,433.975000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
38,LPD 38,434.000000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
39,LPD 39,434.025000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
40,LPD 40,434.050000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
41,LPD 41,434.075000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
42,LPD 42,434.100000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
43,LPD 43,434.125000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
44,LPD 44,434.150000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
45,LPD 45,434.175000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
46,LPD 46,434.200000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
47,LPD 47,434.225000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
48,LPD 48,434.250000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
49,LPD 49,434.275000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
50,LPD 50,434.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
51,LPD 51,434.325000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
52,LPD 52,434.350000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
53,LPD 53,434.375000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
54,LPD 54,434.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
55,LPD 55,434.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
56,LPD 56,434.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
57,LPD 57,434.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
58,LPD 58,434.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
59,LPD 59,434.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
60,LPD 60,434.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
61,LPD 61,434.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
62,LPD 62,434.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
63,LPD 63,434.625000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
64,LPD 64,434.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
65,LPD 65,434.675000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
66,LPD 66,434.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
67,LPD 67,434.725000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
68,LPD 68,434.750000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
69,LPD 69,434.775000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
71,PMR 01,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
72,PMR 02,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
73,PMR 03,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
74,PMR 04,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
75,PMR 05,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
76,PMR 06,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
77,PMR 07,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
78,PMR 08,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
79,PMR 09,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
80,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
81,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
82,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
83,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
84,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
85,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
86,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
91,PMR 01D,446.006250,,5.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
92,PMR 02D,446.018750,,0.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
93,PMR 03D,446.031250,,0.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
94,PMR 04D,446.043750,,0.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
95,PMR 05D,446.056250,,0.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
96,PMR 06D,446.068750,,0.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
97,PMR 07D,446.081250,,0.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
98,PMR 08D,446.093750,,5.000000,DTCS,88.5,88.5,065,NN,NFM,12.50,,,,,,
100,FRS 01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
101,FRS 02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
102,FRS 03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
103,FRS 04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
104,FRS 05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
105,FRS 06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
106,FRS 07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
107,FRS 08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
108,FRS 09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
109,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
110,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
111,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
112,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
113,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
114,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
115,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
116,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
117,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
118,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
119,FRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
120,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
121,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
